Country;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Puerto Rico ;368;;;;356;330;;;;218;;350;;;;313;
Qatar;;;55;;;;;;;113;;53;;;;;
Reunion ;141;143;;;120;161;41;;;;;130;;114;;;111
Romania;230;200;;180;164;;124;;75;;;155;;143;;;402
Russian Federation;638;606;;532;611;161;629;;;;;475;;445;;204;
Saudi Arabia;;;;;;;;;168;;;162;;;;;76
Scotland;126;129;;132;;;152;;185;;;147;;143;;;154
Senegal;55;;;;;53;;178;;;;62;;;;;437
Serbia;;92;104;;;122;;;;153;;;;148;;;58
Seychelles;;239;;;;270;;60;;;;799;;;;201;
Sierra Leone;;;32;;;33;;;164;;;52;;55;;;153
Singapore;388;;392;;;267;;;507;;;227;;;;;191
Slovakia;;164;165;158;;148;;;265;;;187;;184;;78;
Slovenia;56;;;56;;;65;;184;;;66;;73;;280;
Solomon Is.;;;56;;;42;;;63;;;55;56;52;;;
South Africa;404;402;413;;;;335;;49;;;294;;292;;;126
South Sudan;;;;;;;;;;316;;65;;;;94;
Spain;126;138;;140;;;160;;;159;;147;;136;;393;
Sri Lanka;91;110;114;;;121;;;131;;;132;;;;280;
St Kitts & Nevis;;415;;547;;588;;;;495;;714;;;;;426
St Lucia;;287;303;303;;;;;315;;;;;349;;52;
St Vincent & Grenadines;;;;339;;317;;;379;;;378;;282;;;
Sudan;;36;;;;;;45;;;;;;;;59;
Suriname;;;;356;;;;175;;;;183;;;;81;
Swaziland;362;;;;249;;231;219;;;;289;;;;;
Sweden;73;;;;82;74;;;78;;;;;55;;;265
Switzerland;69;;;83;;76;;;79;;;84;;;;;
Syria;;75;;60;;;;;;;;;;58;;;
Taiwan;;;81;259;;;276;;;278;;280;;272;;;526
Tajikistan;;159;58;;164;;109;;130;;;;;;;51;
Tanzania;122;;251;;113;;;92;;;;78;69;;;64;
Thailand;401;159;;256;;;257;;;328;;398;166;461;;;
Togo;;;264;;;;;;59;;;166;;;;181;
Tonga;109;41;;114;;74;;;153;;;258;;;;;288
Tunisia;;;105;;;;;;;297;;179;110;;;;
Turkey;;92;;;91;;142;;;168;;;;220;655;;
Turkmenistan;;;263;;224;;;;;;;110;;;;129;
Tuvalu;;;95;60;;25;;;80;;;;;;;;140
Uganda;91;;;95;;88;;;89;;;305;;115;;;76
Ukraine;;415;;;356;;323;;;338;;;;195;;;143
United Arab Emirates;;;288;;238;;;;;;;;;;;;157
Uruguay;;209;;;193;;;;261;;;;104;291;;;
USA;701;714;;738;;756;;743;;;;150;;;;321;
Uzbekistan;257;184;;;;;;15;;;;;150;;;;
Vanuatu;46;44;;65;;53;;;76;;;178;;87;71;;
Venezuela;;76;;74;;;79;;149;;;154;178;;;178;
Vietnam;;;;105;116;;;;122;;;425;154;;;137;
Yemen;;;;;;;;48;;;;53;;;;;
Zambia;124;122;;120;;;;120;;;;129;;125;;146;
Zimbabwe;163;155;;139;;136;;;121;;;;;145;;120;
